file_name,label,width,height,size_kb,mean_intensity,dark_pixel_ratio,bright_pixel_ratio
Normal-1.png,Normal,299,299,28.6201171875,85.1896958646995,0.37505173320208945,0.032907909307502155
Normal-10.png,Normal,299,299,37.3046875,128.52416639634905,0.13040122593707004,0.1569445531929173
Normal-100.png,Normal,299,299,40.62109375,125.67904162145837,0.116027784924106,0.08182235098041409
Normal-1000.png,Normal,299,299,38.984375,113.72373910806367,0.14702296394894912,0.010771691591816646
Normal-10000.png,Normal,299,299,36.640625,131.35319515441662,0.13245936846344,0.1493719309627409
Normal-10001.png,Normal,299,299,40.400390625,128.16863346047583,0.14748157179449894,0.15719063545150502
Normal-10002.png,Normal,299,299,36.0224609375,106.0996185724992,0.2820661961275601,0.13102761714074787
Normal-10003.png,Normal,299,299,37.443359375,116.74558450129193,0.2002774018187716,0.13841008489837922
Normal-10004.png,Normal,299,299,36.51953125,137.00412747060994,0.15827563450073265,0.23692128723392356
Normal-10005.png,Normal,299,299,38.046875,174.55119070256484,0.03637543204214718,0.38020827507522287
Normal-10006.png,Normal,299,299,28.6083984375,118.77566246462567,0.15500945179584122,0.07004395923982953
Normal-10007.png,Normal,299,299,35.96484375,100.92210377959978,0.12403664388541515,1.1185557208532343e-05
Normal-10008.png,Normal,299,299,40.4892578125,121.76256417713448,0.11574814599389269,0.11017773850404358
Normal-10009.png,Normal,299,299,37.9609375,113.75574098723727,0.17790628740170691,0.08105054753302536
Normal-1001.png,Normal,299,299,37.56640625,95.25925884497936,0.2888222726815136,0.01657699578304493
Normal-10010.png,Normal,299,299,36.46875,91.80122146284717,0.32566749812641915,0.059283453205221416
Normal-10011.png,Normal,299,299,36.78125,122.64228588047114,0.05733716625093679,0.019071375040547643
Normal-10012.png,Normal,299,299,35.5849609375,154.44317177660204,0.10584892786434157,0.16307423854319303
Normal-10013.png,Normal,299,299,32.869140625,140.7144439100234,0.14354425565709555,0.27844207559199563
Normal-10014.png,Normal,299,299,33.6279296875,188.52997170054027,0.004854531828503037,0.491616424872205
Normal-10015.png,Normal,299,299,34.9990234375,115.84129931432534,0.10902562611156474,1.1185557208532343e-05
Normal-10016.png,Normal,299,299,35.0078125,134.1346405521191,0.14547935705417164,0.21101553673896264
Normal-10017.png,Normal,299,299,36.6884765625,165.2568315790651,0.018635138309414885,0.331841925705529
Normal-10018.png,Normal,299,299,33.7568359375,180.88603035760227,0.028713325354302526,0.4714264941108041
Normal-10019.png,Normal,299,299,32.501953125,100.95275220635116,0.13241462623460587,0.10569233006342212
Normal-1002.png,Normal,299,299,42.013671875,128.2931287122068,0.09804140893278598,0.08823167526090313
Normal-10020.png,Normal,299,299,36.935546875,125.302043601302,0.13763828145099047,0.1405241552107918
Normal-10021.png,Normal,299,299,35.0966796875,89.19038936924643,0.3669981320119462,0.08823167526090313
